Date,BK
1/2/2015,40.46
1/5/2015,39.42
1/6/2015,38.28
1/7/2015,39.07
1/8/2015,39.61
1/9/2015,39.03
1/12/2015,38.47
1/13/2015,38.4
1/14/2015,37.43
1/15/2015,37.25
1/16/2015,37.46
1/20/2015,37.24
1/21/2015,37.55
1/22/2015,38.72
1/23/2015,36.9
1/26/2015,37.42
1/27/2015,36.74
1/28/2015,35.66
1/29/2015,36.44
1/30/2015,36
2/2/2015,36.67
2/3/2015,37.4
2/4/2015,37.17
2/5/2015,37.73
2/6/2015,38.47
2/9/2015,38.48
2/10/2015,39.08
2/11/2015,39.13
2/12/2015,39.41
2/13/2015,39.2
2/17/2015,39.46
2/18/2015,38.99
2/19/2015,39.12
2/20/2015,39.44
2/23/2015,39.17
2/24/2015,39.78
2/25/2015,39.86
2/26/2015,39.44
2/27/2015,39.14
3/2/2015,39.65
3/3/2015,39.65
3/4/2015,39.44
3/5/2015,39.19
3/6/2015,39.28
3/9/2015,39.79
3/10/2015,39.19
3/11/2015,39.42
3/12/2015,40.44
3/13/2015,40.94
3/16/2015,41.05
3/17/2015,41.14
3/18/2015,40.83
3/19/2015,40.3
3/20/2015,40.57
3/23/2015,40.42
3/24/2015,40.1
3/25/2015,39.52
3/26/2015,39.81
3/27/2015,39.75
3/30/2015,40.29
3/31/2015,40.24
4/1/2015,40.21
4/2/2015,40.55
4/6/2015,40.49
4/7/2015,40.57
4/8/2015,40.69
4/9/2015,40.84
4/10/2015,40.86
4/13/2015,40.95
4/14/2015,41.06
4/15/2015,41.13
4/16/2015,41.06
4/17/2015,40.5
4/20/2015,40.78
4/21/2015,41.04
4/22/2015,42.43
4/23/2015,42.58
4/24/2015,42.07
4/27/2015,41.97
4/28/2015,42.76
4/29/2015,42.86
4/30/2015,42.34
5/1/2015,42.74
5/4/2015,43.28
5/5/2015,42.9
5/6/2015,42.94
5/7/2015,43.31
5/8/2015,43.41
5/11/2015,43.25
5/12/2015,43.18
5/13/2015,43.27
5/14/2015,43.37
5/15/2015,43.09
5/18/2015,43.47
5/19/2015,43.54
5/20/2015,43.62
5/21/2015,43.64
5/22/2015,43.47
5/26/2015,43.46
5/27/2015,43.88
5/28/2015,43.95
5/29/2015,43.36
6/1/2015,42.92
6/2/2015,42.9
6/3/2015,43.41
6/4/2015,42.96
6/5/2015,43.36
6/8/2015,43.34
6/9/2015,43.4
6/10/2015,43.74
6/11/2015,43.88
6/12/2015,43.68
6/15/2015,43.29
6/16/2015,43.2
6/17/2015,43.15
6/18/2015,43.27
6/19/2015,43.12
6/22/2015,43.47
6/23/2015,43.66
6/24/2015,43.29
6/25/2015,42.85
6/26/2015,42.98
6/29/2015,41.79
6/30/2015,41.97
7/1/2015,42.18
7/2/2015,41.79
7/6/2015,41.55
7/7/2015,41.54
7/8/2015,40.54
7/9/2015,40.99
7/10/2015,41.71
7/13/2015,42.38
7/14/2015,42.53
7/15/2015,42.67
7/16/2015,43.07
7/17/2015,42.82
7/20/2015,42.98
7/21/2015,44.15
7/22/2015,44.73
7/23/2015,44.47
7/24/2015,43.72
7/27/2015,43.26
7/28/2015,43.59
7/29/2015,43.78
7/30/2015,43.93
7/31/2015,43.4
8/3/2015,43.4
8/4/2015,43.89
8/5/2015,44.4
8/6/2015,44.28
8/7/2015,44.75
8/10/2015,45.26
8/11/2015,44.67
8/12/2015,43.9
8/13/2015,43.87
8/14/2015,44.07
8/17/2015,44.06
8/18/2015,44.35
8/19/2015,44.18
8/20/2015,42.8
8/21/2015,41.45
8/24/2015,38.64
8/25/2015,37.78
8/26/2015,39.47
8/27/2015,40.8
8/28/2015,40.67
8/31/2015,39.8
9/1/2015,38.34
9/2/2015,39.02
9/3/2015,39.28
9/4/2015,38.49
9/8/2015,39.32
9/9/2015,38.98
9/10/2015,39.33
9/11/2015,39.56
9/14/2015,39.56
9/15/2015,40.06
9/16/2015,40.23
9/17/2015,39.81
9/18/2015,38.86
9/21/2015,39.43
9/22/2015,38.85
9/23/2015,38.82
9/24/2015,38.52
9/25/2015,39.6
9/28/2015,38.2
9/29/2015,38.44
9/30/2015,39.15
10/1/2015,39.36
10/2/2015,39.17
10/5/2015,40.15
10/6/2015,39.96
10/7/2015,40.55
10/8/2015,40.87
10/9/2015,40.45
10/12/2015,40.46
10/13/2015,39.84
10/14/2015,39.26
10/15/2015,40.48
10/16/2015,40.49
10/19/2015,40.17
10/20/2015,41.25
10/21/2015,40.84
10/22/2015,41.65
10/23/2015,42.25
10/26/2015,41.89
10/27/2015,41.71
10/28/2015,43.07
10/29/2015,42.45
10/30/2015,41.65
11/2/2015,42.25
11/3/2015,42.65
11/4/2015,42.59
11/5/2015,43.29
11/6/2015,44.19
11/9/2015,43.67
11/10/2015,43.63
11/11/2015,43.84
11/12/2015,43.18
11/13/2015,42.67
11/16/2015,42.93
11/17/2015,42.91
11/18/2015,44
11/19/2015,43.83
11/20/2015,43.74
11/23/2015,43.67
11/24/2015,43.68
11/25/2015,43.93
11/27/2015,43.88
11/30/2015,43.84
12/1/2015,43.91
12/2/2015,43.49
12/3/2015,42.98
12/4/2015,44.06
12/7/2015,43.59
12/8/2015,43.15
12/9/2015,42.4
12/10/2015,42.27
12/11/2015,40.77
12/14/2015,40.39
12/15/2015,42.04
12/16/2015,42.7
12/17/2015,41.26
12/18/2015,40.22
12/21/2015,40.59
12/22/2015,40.99
12/23/2015,41.35
12/24/2015,41.23
12/28/2015,41.14
12/29/2015,41.72
12/30/2015,41.28
12/31/2015,41.22
1/4/2016,39.97
1/5/2016,39.82
1/6/2016,38.82
1/7/2016,37.84
1/8/2016,37.15
1/11/2016,37.42
1/12/2016,37.72
1/13/2016,36.46
1/14/2016,37.07
1/15/2016,35.78
1/19/2016,35.93
1/20/2016,35.47
1/21/2016,34.31
1/22/2016,35.15
1/25/2016,34.67
1/26/2016,35.56
1/27/2016,35.43
1/28/2016,35.37
1/29/2016,36.22
2/1/2016,35.5
2/2/2016,34.29
2/3/2016,34.34
2/4/2016,34.95
2/5/2016,34.46
2/8/2016,33.3
2/9/2016,33.6
2/10/2016,33.56
2/11/2016,32.74
2/12/2016,33.83
2/16/2016,34.55
2/17/2016,34.91
2/18/2016,34.54
2/19/2016,34.93
2/22/2016,35.43
2/23/2016,35.06
2/24/2016,34.77
2/25/2016,35.33
2/26/2016,36.12
2/29/2016,35.39
3/1/2016,36.8
3/2/2016,37.42
3/3/2016,37.69
3/4/2016,38.09
3/7/2016,38.17
3/8/2016,37.49
3/9/2016,37.14
3/10/2016,36.87
3/11/2016,37.75
3/14/2016,37.63
3/15/2016,37.49
3/16/2016,37.17
3/17/2016,37.38
3/18/2016,38.15
3/21/2016,38.13
3/22/2016,37.86
3/23/2016,37.52
3/24/2016,37.28
3/28/2016,37.34
3/29/2016,36.97
3/30/2016,37.14
3/31/2016,36.83
4/1/2016,36.93
4/4/2016,37.04
4/5/2016,36.52
4/6/2016,36.97
4/7/2016,35.67
4/8/2016,35.49
4/11/2016,35.86
4/12/2016,36.13
4/13/2016,37.78
4/14/2016,38.06
4/15/2016,37.85
4/18/2016,38.31
4/19/2016,38.84
4/20/2016,39.72
4/21/2016,40.7
4/22/2016,41.06
4/25/2016,40.67
4/26/2016,41.23
4/27/2016,41.28
4/28/2016,40.64
4/29/2016,40.24
5/2/2016,40.77
5/3/2016,39.81
5/4/2016,39.28
5/5/2016,39.4
5/6/2016,39.53
5/9/2016,39.37
5/10/2016,40.24
5/11/2016,39.87
5/12/2016,39.74
5/13/2016,39.44
5/16/2016,39.74
5/17/2016,39.84
5/18/2016,41.14
5/19/2016,40.83
5/20/2016,41.07
5/23/2016,40.97
5/24/2016,41.68
5/25/2016,42.21
5/26/2016,42.03
5/27/2016,42.27
5/31/2016,42.06
6/1/2016,42.25
6/2/2016,42.16
6/3/2016,41.52
6/6/2016,42.39
6/7/2016,42.04
6/8/2016,42.06
6/9/2016,41.65
6/10/2016,41.24
6/13/2016,40.96
6/14/2016,40.15
6/15/2016,40.26
6/16/2016,40.16
6/17/2016,40.06
6/20/2016,40.42
6/21/2016,40.44
6/22/2016,40.6
6/23/2016,41.54
6/24/2016,37.99
6/27/2016,35.88
6/28/2016,36.79
6/29/2016,38
6/30/2016,38.85
7/1/2016,38.04
7/5/2016,37.13
7/6/2016,37.31
7/7/2016,37.76
7/8/2016,38.49
7/11/2016,38.59
7/12/2016,39.37
7/13/2016,39.41
7/14/2016,39.69
7/15/2016,39.79
7/18/2016,39.93
7/19/2016,39.71
7/20/2016,40.01
7/21/2016,38.6
7/22/2016,39.19
7/25/2016,39.05
7/26/2016,39.6
7/27/2016,39.93
7/28/2016,39.83
7/29/2016,39.4
8/1/2016,39.2
8/2/2016,38.8
8/3/2016,39.22
8/4/2016,38.94
8/5/2016,40.5
8/8/2016,40.59
8/9/2016,40.28
8/10/2016,39.84
8/11/2016,40.04
8/12/2016,39.73
8/15/2016,40.16
8/16/2016,39.99
8/17/2016,40.21
8/18/2016,40.24
8/19/2016,40.25
8/22/2016,40.18
8/23/2016,40.25
8/24/2016,40.29
8/25/2016,40.53
8/26/2016,40.85
8/29/2016,41.26
8/30/2016,41.71
8/31/2016,41.67
9/1/2016,41.47
9/2/2016,41.65
9/6/2016,41.48
9/7/2016,41.29
9/8/2016,41.44
9/9/2016,40.93
9/12/2016,41.46
9/13/2016,40.74
9/14/2016,40.54
9/15/2016,40.85
9/16/2016,40.06
9/19/2016,40.09
9/20/2016,40.18
9/21/2016,40.52
9/22/2016,40.35
9/23/2016,40.2
9/26/2016,39.55
9/27/2016,39.5
9/28/2016,39.5
9/29/2016,39.06
9/30/2016,39.88
10/3/2016,39.69
10/4/2016,40.2
10/5/2016,40.83
10/6/2016,40.73
10/7/2016,40.57
10/10/2016,40.68
10/11/2016,39.95
10/12/2016,40.12
10/13/2016,39.09
10/14/2016,39.47
10/17/2016,39.3
10/18/2016,40.03
10/19/2016,40.43
10/20/2016,42.25
10/21/2016,43.05
10/24/2016,43.41
10/25/2016,43.4
10/26/2016,43.61
10/27/2016,43.7
10/28/2016,43.5
10/31/2016,43.27
11/1/2016,43.4
11/2/2016,42.87
11/3/2016,43.04
11/4/2016,42.99
11/7/2016,44.03
11/8/2016,43.88
11/9/2016,45.54
11/10/2016,46.21
11/11/2016,46.73
11/14/2016,47.53
11/15/2016,47.93
11/16/2016,47.05
11/17/2016,47.6
11/18/2016,47.44
11/21/2016,47.42
11/22/2016,47.25
11/23/2016,47.47
11/25/2016,47.47
11/28/2016,47.03
11/29/2016,47.05
11/30/2016,47.42
12/1/2016,48.6
12/2/2016,47.65
12/5/2016,47.86
12/6/2016,47.99
12/7/2016,48.55
12/8/2016,49.17
12/9/2016,48.62
12/12/2016,48.22
12/13/2016,48.28
12/14/2016,48.07
12/15/2016,48.35
12/16/2016,47.56
12/19/2016,47.28
12/20/2016,47.68
12/21/2016,47.55
12/22/2016,47.61
12/23/2016,47.58
12/27/2016,47.73
12/28/2016,47.65
12/29/2016,47.34
12/30/2016,47.38
1/3/2017,47.96
1/4/2017,48.71
1/5/2017,48.09
1/6/2017,48.17
1/9/2017,47.64
1/10/2017,47.72
1/11/2017,48.03
1/12/2017,47.46
1/13/2017,47.74
1/17/2017,46.43
1/18/2017,46.23
1/19/2017,44.84
1/20/2017,44.56
1/23/2017,43.87
1/24/2017,44.63
1/25/2017,44.91
1/26/2017,44.97
1/27/2017,44.78
1/30/2017,44.67
1/31/2017,44.73
2/1/2017,45.02
2/2/2017,44.8
2/3/2017,45.67
2/6/2017,45.66
2/7/2017,45.45
2/8/2017,45.14
2/9/2017,45.5
2/10/2017,45.56
2/13/2017,46.12
2/14/2017,46.82
2/15/2017,47.43
2/16/2017,47.07
2/17/2017,47.14
2/21/2017,47.5
2/22/2017,47.29
2/23/2017,47.34
2/24/2017,47.09
2/27/2017,47.11
2/28/2017,47.14
3/1/2017,48.5
3/2/2017,47.99
3/3/2017,47.95
3/6/2017,47.9
3/7/2017,47.67
3/8/2017,48.19
3/9/2017,47.93
3/10/2017,48.17
3/13/2017,48.35
3/14/2017,48.26
3/15/2017,48.33
3/16/2017,48.47
3/17/2017,47.91
3/20/2017,47.21
3/21/2017,46.42
3/22/2017,46.16
3/23/2017,46.28
3/24/2017,46.25
3/27/2017,46.25
3/28/2017,47
3/29/2017,46.72
3/30/2017,47.53
3/31/2017,47.23
4/3/2017,47.13
4/4/2017,46.97
4/5/2017,47
4/6/2017,47.31
4/7/2017,47.15
4/10/2017,47.06
4/11/2017,47.26
4/12/2017,46.89
4/13/2017,46.42
4/17/2017,47.05
4/18/2017,46.89
4/19/2017,46.86
4/20/2017,46.65
4/21/2017,46.75
4/24/2017,47.55
4/25/2017,47.23
4/26/2017,47.15
4/27/2017,47.22
4/28/2017,47.06
5/1/2017,47.18
5/2/2017,47.12
5/3/2017,47.4
5/4/2017,47.61
5/5/2017,47.65
5/8/2017,47.68
5/9/2017,47.12
5/10/2017,47.16
5/11/2017,46.93
5/12/2017,46.76
5/15/2017,47.11
5/16/2017,47.18
5/17/2017,46.29
5/18/2017,46.2
5/19/2017,46.54
5/22/2017,46.8
5/23/2017,47.03
5/24/2017,46.96
5/25/2017,47.38
5/26/2017,47.41
5/30/2017,47.1
5/31/2017,47.12
6/1/2017,47.42
6/2/2017,47.51
6/5/2017,47.54
6/6/2017,47.23
6/7/2017,47.9
6/8/2017,48.39
6/9/2017,49.4
6/12/2017,49.1
6/13/2017,49.57
6/14/2017,49.77
6/15/2017,49.78
6/16/2017,49.89
6/19/2017,50.28
6/20/2017,49.86
6/21/2017,49.59
6/22/2017,49.55
6/23/2017,49.17
6/26/2017,49.55
6/27/2017,49.68
6/28/2017,50.6
6/29/2017,51.01
6/30/2017,51.02
7/3/2017,51.83
7/5/2017,52.27
7/6/2017,51.23
7/7/2017,51.75
7/10/2017,51.88
7/11/2017,51.47
7/12/2017,51.45
7/13/2017,52.06
7/14/2017,52.36
7/17/2017,53.35
7/18/2017,53.53
7/19/2017,53.06
7/20/2017,53.91
7/21/2017,53.36
7/24/2017,53.47
7/25/2017,53.73
7/26/2017,53.39
7/27/2017,52.86
7/28/2017,52.66
7/31/2017,53.03
8/1/2017,53.71
8/2/2017,53.91
8/3/2017,53.82
8/4/2017,54.02
8/7/2017,53.71
8/8/2017,53.79
8/9/2017,54.04
8/10/2017,51.95
8/11/2017,52.19
8/14/2017,52.83
8/15/2017,53.15
8/16/2017,52.88
8/17/2017,51.8
8/18/2017,52.1
8/21/2017,52.19
8/22/2017,52.66
8/23/2017,52.77
8/24/2017,52.79
8/25/2017,52.65
8/28/2017,52.27
8/29/2017,52.09
8/30/2017,52.36
8/31/2017,52.28
9/1/2017,52.33
9/5/2017,51.2
9/6/2017,51.27
9/7/2017,50.28
9/8/2017,50.43
9/11/2017,51.53
9/12/2017,51.99
9/13/2017,51.59
9/14/2017,51.13
9/15/2017,51.56
9/18/2017,51.7
9/19/2017,52.04
9/20/2017,52.4
9/21/2017,52.42
9/22/2017,52.37
9/25/2017,52.2
9/26/2017,52.12
9/27/2017,52.76
9/28/2017,53.01
9/29/2017,53.02
10/2/2017,53.65
10/3/2017,53.8
10/4/2017,53.8
10/5/2017,54.43
10/6/2017,54.47
10/9/2017,54.33
10/10/2017,54.66
10/11/2017,54.88
10/12/2017,54.74
10/13/2017,54.67
10/16/2017,54.71
10/17/2017,53.96
10/18/2017,54.46
10/19/2017,52.85
10/20/2017,53.12
10/23/2017,52.51
10/24/2017,52.88
10/25/2017,51.75
10/26/2017,52.22
10/27/2017,52.14
10/30/2017,51.65
10/31/2017,51.45
11/1/2017,51.65
11/2/2017,51.4
11/3/2017,51.33
11/6/2017,51.35
11/7/2017,51.07
11/8/2017,51.22
11/9/2017,50.82
11/10/2017,50.93
11/13/2017,51.02
11/14/2017,51.85
11/15/2017,51.94
11/16/2017,52.23
11/17/2017,52.47
11/20/2017,52.52
11/21/2017,52.42
11/22/2017,52.43
11/24/2017,52.23
11/27/2017,52.18
11/28/2017,53.13
11/29/2017,54.41
11/30/2017,54.74
12/1/2017,54.45
12/4/2017,54.97
12/5/2017,54.43
12/6/2017,54.02
12/7/2017,54.22
12/8/2017,54.67
12/11/2017,54.54
12/12/2017,54.97
12/13/2017,54.38
12/14/2017,54.02
12/15/2017,54.2
12/18/2017,54.42
12/19/2017,54.2
12/20/2017,53.95
12/21/2017,54.36
12/22/2017,54
12/26/2017,53.81
12/27/2017,53.84
12/28/2017,54.12
12/29/2017,53.86
1/2/2018,53.82
1/3/2018,54.15
1/4/2018,54.69
1/5/2018,54.83
1/8/2018,55.06
1/9/2018,55.56
1/10/2018,57.3
1/11/2018,57.83
1/12/2018,58.42
1/16/2018,57.54
1/17/2018,57.89
1/18/2018,55.35
1/19/2018,56.61
1/22/2018,57.72
1/23/2018,57.72
1/24/2018,57.77
1/25/2018,56.85
1/26/2018,57.78
1/29/2018,57.52
1/30/2018,56.7
1/31/2018,56.7
2/1/2018,57.5
2/2/2018,56.33
2/5/2018,54.38
2/6/2018,55.49
2/7/2018,55.34
2/8/2018,53.29
2/9/2018,54.08
2/12/2018,54.61
2/13/2018,54.81
2/14/2018,55.98
2/15/2018,56.16
2/16/2018,56.25
2/20/2018,56.42
2/21/2018,56.45
2/22/2018,55.9
2/23/2018,56.9
2/26/2018,58.18
2/27/2018,57.99
2/28/2018,57.03
3/1/2018,55.51
3/2/2018,55.37
3/5/2018,56.41
3/6/2018,56.87
3/7/2018,56.9
3/8/2018,55.69
3/9/2018,57.23
3/12/2018,56.44
3/13/2018,55.96
3/14/2018,54.87
3/15/2018,54.85
3/16/2018,55
3/19/2018,54.34
3/20/2018,54.43
3/21/2018,54.61
3/22/2018,52.02
3/23/2018,50.73
3/26/2018,52.14
3/27/2018,50.72
3/28/2018,50.61
3/29/2018,51.53
4/2/2018,50.15
4/3/2018,50.99
4/4/2018,51.48
4/5/2018,51.73
4/6/2018,50.35
4/9/2018,50.52
4/10/2018,51.38
4/11/2018,50.95
4/12/2018,52.01
4/13/2018,51.57
4/16/2018,51.99
4/17/2018,52.19
4/18/2018,52.26
4/19/2018,55.24
4/20/2018,55.42
4/23/2018,55.73
4/24/2018,55.39
4/25/2018,55.4
4/26/2018,55.44
4/27/2018,55.32
4/30/2018,54.51
5/1/2018,54.19
5/2/2018,53.99
5/3/2018,53.85
5/4/2018,54.49
5/7/2018,55.59
5/8/2018,56.08
5/9/2018,56.86
5/10/2018,57.27
5/11/2018,57.18
5/14/2018,57.3
5/15/2018,56.89
5/16/2018,57.06
5/17/2018,57.28
5/18/2018,57.28
5/21/2018,57.72
5/22/2018,57.59
5/23/2018,57.45
5/24/2018,57.24
5/25/2018,57
5/29/2018,55.19
5/30/2018,55.4
5/31/2018,54.75
6/1/2018,55.35
6/4/2018,55.77
6/5/2018,55.59
6/6/2018,56.57
6/7/2018,57.65
6/8/2018,57.56
6/11/2018,57.7
6/12/2018,57.67
6/13/2018,57.32
6/14/2018,56.8
6/15/2018,56.93
6/18/2018,57.24
6/19/2018,57.34
6/20/2018,57.37
6/21/2018,57.15
6/22/2018,56.75
6/25/2018,55.67
6/26/2018,55.18
6/27/2018,54.2
6/28/2018,54.3
6/29/2018,53.93
7/2/2018,54.09
7/3/2018,53.19
7/5/2018,53.2
